[INFO] 20:02:39:225 gameboy/(4738:4738): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:39:236 gameboy/(4740:4740): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:39:903 gameboy/(4746:4746): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:39:906 gameboy/(4748:4748): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:39:908 gameboy/(4750:4750): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:39:910 gameboy/(4752:4752): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:39:922 gameboy/(4754:4754): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:39:924 gameboy/(4756:4756): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:39:927 gameboy/(4758:4758): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:39:949 gameboy/(4760:4760): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:39:958 gameboy/(4762:4762): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:39:962 gameboy/(4764:4764): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:39:964 gameboy/(4766:4766): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:39:967 gameboy/(4768:4768): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:40:441 gameboy/(4774:4774): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:40:443 gameboy/(4776:4776): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:40:445 gameboy/(4778:4778): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

